Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price,Pred_Price
Audi,A4,2009,2.4,Diesel,Manual,263797,2,5,3924,3784.9
Hyundai,Elantra,2006,2.8,Electric,Manual,110280,3,3,8494,7936.3
Audi,A3,2009,1.2,Electric,Automatic,111448,5,1,9271,9284.8
Mercedes,GLA,2013,1.9,Petrol,Manual,205005,2,2,5799,5203.9
Mercedes,E-Class,2004,4.9,Petrol,Semi-Automatic,175273,3,5,6694,6776.8
Mercedes,GLA,2022,3.8,Diesel,Manual,191466,3,2,10670,10115.6
Ford,Focus,2008,1.8,Electric,Semi-Automatic,280713,3,1,4685,4885.0
Honda,Civic,2015,2.6,Electric,Semi-Automatic,66777,5,1,11864,12229.6
Kia,Optima,2020,3.2,Electric,Manual,88070,3,5,13538,13584.6
BMW,3 Series,2011,2.9,Electric,Semi-Automatic,281020,3,5,6679,6759.3
Chevrolet,Impala,2017,1.8,Diesel,Semi-Automatic,22175,2,2,10556,10763.0
Volkswagen,Passat,2003,2.0,Electric,Manual,287728,3,3,3245,3493.6
Hyundai,Sonata,2007,3.6,Electric,Automatic,102907,3,3,11241,10800.7
Honda,Civic,2005,2.4,Petrol,Automatic,60316,2,5,8293,8134.8
Toyota,Camry,2008,1.3,Petrol,Automatic,188097,2,2,5538,5472.8
Ford,Fiesta,2004,4.0,Diesel,Automatic,85348,3,3,9093,9283.1
Ford,Focus,2015,4.8,Electric,Automatic,100603,4,2,14887,14250.5
Mercedes,C-Class,2007,2.7,Hybrid,Manual,147310,5,2,6953,6478.4
Mercedes,GLA,2011,4.0,Diesel,Manual,140263,4,5,8594,8824.4
Volkswagen,Passat,2005,3.2,Electric,Semi-Automatic,155550,5,4,7689,8446.9
Volkswagen,Golf,2000,4.0,Hybrid,Manual,237232,4,5,4355,4487.2
Ford,Fiesta,2002,4.0,Hybrid,Semi-Automatic,272351,3,3,4252,5195.2
Kia,Optima,2008,4.6,Petrol,Manual,164879,2,4,7802,7458.0
Hyundai,Tucson,2018,2.8,Petrol,Manual,160349,4,3,9093,8519.6
Hyundai,Elantra,2007,1.5,Diesel,Manual,30793,5,1,7084,6839.2
BMW,3 Series,2019,1.9,Electric,Automatic,6745,2,1,15065,14391.9
Toyota,Camry,2007,4.9,Hybrid,Manual,23217,2,4,11635,10886.8
Kia,Sportage,2017,2.7,Hybrid,Automatic,242456,2,5,9550,9091.7
Hyundai,Sonata,2017,1.3,Hybrid,Automatic,152123,5,5,9957,9832.6
Honda,CR-V,2022,3.4,Diesel,Automatic,248894,5,2,10622,10450.3
Mercedes,GLA,2007,2.3,Electric,Manual,76458,3,5,8970,8941.2
BMW,X5,2017,3.9,Hybrid,Semi-Automatic,2020,3,2,14059,14089.4
Hyundai,Sonata,2018,2.0,Hybrid,Automatic,121567,4,4,11568,11723.8
Volkswagen,Golf,2023,3.5,Petrol,Semi-Automatic,139477,2,5,11710,12101.9
Ford,Fiesta,2007,4.5,Electric,Manual,53088,3,2,11638,11323.0
Volkswagen,Tiguan,2020,1.7,Petrol,Automatic,195565,2,5,9388,8927.3
Audi,A4,2004,4.8,Hybrid,Semi-Automatic,141850,3,2,8263,8412.5
Honda,Civic,2020,4.6,Petrol,Manual,191397,3,4,10872,10463.9
Hyundai,Tucson,2015,1.6,Electric,Manual,259533,2,4,7009,6664.6
Mercedes,C-Class,2015,4.1,Petrol,Automatic,197249,3,1,10255,10351.6
Volkswagen,Passat,2007,3.8,Electric,Manual,272609,4,5,6547,5965.8
Ford,Focus,2013,1.1,Diesel,Manual,294516,4,1,3209,3357.6
Kia,Sportage,2001,2.9,Diesel,Manual,258813,4,5,2123,1495.5
Toyota,Corolla,2014,4.1,Petrol,Automatic,17100,5,5,13558,13632.4
Kia,Optima,2017,4.6,Diesel,Manual,197307,3,1,9853,9495.1
BMW,X5,2007,4.2,Petrol,Automatic,129851,3,4,9302,9295.6
Mercedes,E-Class,2011,1.8,Diesel,Semi-Automatic,261247,3,4,3975,4213.2
Audi,Q5,2016,2.5,Electric,Semi-Automatic,121855,5,5,10962,11420.9
BMW,3 Series,2011,2.6,Petrol,Manual,107928,4,2,7841,7468.4
Volkswagen,Passat,2011,4.7,Petrol,Automatic,203960,5,3,9520,9010.0
BMW,5 Series,2009,3.0,Electric,Manual,17260,5,5,11454,11635.5
Audi,A3,2022,3.8,Electric,Semi-Automatic,275109,2,5,10997,11126.6
Toyota,Corolla,2016,2.8,Hybrid,Semi-Automatic,203314,3,3,8633,8800.9
Toyota,Corolla,2014,2.8,Hybrid,Automatic,190214,5,2,9795,9205.6
Ford,Explorer,2013,5.0,Electric,Automatic,188195,5,3,12736,12851.7
Audi,A4,2010,2.0,Hybrid,Manual,228204,3,4,5535,5776.6
BMW,5 Series,2001,2.3,Diesel,Semi-Automatic,66264,2,1,5374,6052.0
Toyota,Camry,2022,4.5,Electric,Semi-Automatic,162696,4,2,13946,14338.7
Chevrolet,Malibu,2005,2.2,Diesel,Manual,191462,2,4,3970,4028.8
Honda,Accord,2001,4.0,Diesel,Manual,8958,5,1,8220,8389.2
Hyundai,Elantra,2012,2.6,Hybrid,Manual,11213,5,5,11075,10688.4
Honda,Accord,2003,3.8,Electric,Semi-Automatic,236022,3,2,6079,6229.5
Chevrolet,Equinox,2019,3.9,Hybrid,Semi-Automatic,13333,5,1,14433,14468.4
Mercedes,C-Class,2023,4.6,Electric,Semi-Automatic,274137,2,3,12117,12456.4
Volkswagen,Passat,2010,3.4,Diesel,Manual,8662,4,3,10326,10130.7
BMW,3 Series,2018,2.3,Electric,Semi-Automatic,99243,3,3,11815,12476.4
Ford,Fiesta,2013,3.5,Hybrid,Semi-Automatic,167809,2,3,9143,9591.0
Honda,CR-V,2018,3.0,Hybrid,Semi-Automatic,180938,4,3,9881,10851.6
Mercedes,C-Class,2018,4.0,Petrol,Manual,66347,3,2,12173,12362.6
Honda,Civic,2007,1.4,Petrol,Manual,279031,5,3,2019,1886.8
Chevrolet,Equinox,2013,2.8,Petrol,Manual,63430,4,5,9531,8968.6
BMW,3 Series,2014,2.1,Petrol,Manual,191744,5,1,6565,6690.5
Mercedes,E-Class,2023,3.9,Hybrid,Semi-Automatic,58107,3,2,14737,14795.6
BMW,X5,2002,4.5,Diesel,Manual,86763,2,5,7464,7165.0
Volkswagen,Golf,2020,3.8,Diesel,Automatic,257521,3,3,10249,9593.2
Toyota,Corolla,2013,4.0,Diesel,Manual,213052,4,4,7738,7931.3
BMW,3 Series,2017,1.9,Petrol,Semi-Automatic,117943,2,4,8741,8836.3
Volkswagen,Tiguan,2008,4.5,Electric,Semi-Automatic,178837,3,4,9423,9854.1
Toyota,Corolla,2002,3.9,Diesel,Semi-Automatic,281616,2,3,2967,3052.3
Chevrolet,Malibu,2013,1.4,Diesel,Automatic,131485,3,5,8270,8127.8
Audi,A4,2013,3.9,Electric,Manual,21399,5,3,13472,12778.7
Mercedes,C-Class,2020,3.7,Petrol,Semi-Automatic,148489,3,5,10830,11089.9
Chevrolet,Equinox,2017,3.1,Electric,Manual,189399,5,4,10512,10620.4
Volkswagen,Tiguan,2008,3.5,Petrol,Semi-Automatic,179107,2,3,6417,6880.9
Volkswagen,Passat,2015,4.7,Diesel,Manual,220366,5,1,8892,8380.1
Kia,Optima,2020,4.7,Petrol,Manual,132200,2,1,12156,11696.5
Chevrolet,Impala,2009,1.8,Diesel,Automatic,151249,4,1,7075,6539.7
Chevrolet,Impala,2009,2.0,Petrol,Manual,184695,5,1,5106,5356.5
Volkswagen,Golf,2001,4.1,Petrol,Automatic,32602,3,4,9347,9382.4
Audi,A3,2013,3.2,Electric,Manual,253611,2,4,8127,8118.2
Toyota,RAV4,2020,4.3,Hybrid,Manual,187223,5,3,11655,11462.4
Mercedes,E-Class,2004,3.0,Hybrid,Manual,232438,3,3,4651,4893.4
Toyota,Camry,2019,4.7,Petrol,Manual,114139,5,4,12217,11666.7
Toyota,RAV4,2004,1.3,Electric,Automatic,79437,4,4,8511,8399.6
Honda,Accord,2019,2.2,Diesel,Manual,127801,5,5,9443,9438.8
Toyota,Camry,2002,1.5,Petrol,Automatic,23115,2,1,7237,6969.7
Kia,Optima,2010,3.9,Petrol,Automatic,26930,3,3,11961,11319.2
Toyota,RAV4,2021,2.1,Petrol,Manual,289967,4,3,6700,6774.1
Ford,Focus,2001,3.2,Petrol,Manual,42064,2,3,6758,6773.6
Hyundai,Sonata,2018,3.5,Electric,Manual,233614,4,2,10327,9983.1
Ford,Explorer,2023,4.1,Electric,Automatic,67072,4,3,17258,17279.4
BMW,X5,2017,2.5,Electric,Manual,256380,2,1,8572,8303.1
Mercedes,C-Class,2010,1.9,Petrol,Semi-Automatic,159546,2,4,5809,5925.9
Mercedes,E-Class,2014,3.8,Electric,Semi-Automatic,5877,5,5,13982,14148.8
Hyundai,Tucson,2002,4.9,Hybrid,Automatic,33244,2,2,11435,10717.0
Chevrolet,Impala,2013,4.8,Petrol,Manual,206381,4,4,8672,8080.9
Honda,Civic,2016,4.0,Diesel,Automatic,175833,3,5,10883,11070.8
Hyundai,Tucson,2005,3.6,Petrol,Semi-Automatic,157073,2,1,6058,6434.5
BMW,3 Series,2015,2.9,Electric,Automatic,131766,2,3,12364,11682.5
Ford,Explorer,2001,2.2,Petrol,Manual,18630,3,5,6227,6227.3
Audi,A4,2015,2.1,Diesel,Automatic,54522,3,5,11109,11242.9
Mercedes,GLA,2013,1.4,Electric,Semi-Automatic,231290,3,3,6774,7415.8
Kia,Optima,2000,3.7,Electric,Manual,166776,2,2,6464,6042.6
Audi,A3,2002,4.0,Diesel,Manual,16302,5,2,8373,8537.3
Audi,Q5,2015,2.9,Hybrid,Semi-Automatic,252824,3,1,7443,7509.5
Kia,Sportage,2007,1.2,Hybrid,Automatic,269614,3,4,4507,4579.2
Kia,Sportage,2000,2.8,Electric,Semi-Automatic,264697,2,5,3606,3829.2
Honda,CR-V,2014,4.0,Petrol,Manual,287926,5,2,6541,6768.4
Audi,A3,2001,1.8,Petrol,Automatic,43196,5,2,6836,6262.7
Toyota,RAV4,2001,4.5,Diesel,Semi-Automatic,279971,3,1,3300,3703.8
Hyundai,Sonata,2009,1.0,Petrol,Manual,286745,2,5,2065,2289.2
Mercedes,C-Class,2011,2.3,Electric,Semi-Automatic,885,3,2,11682,12357.0
Honda,Civic,2013,3.5,Hybrid,Semi-Automatic,93273,2,4,10634,11083.4
BMW,X5,2004,3.7,Diesel,Semi-Automatic,110947,3,2,6781,7046.2
Honda,CR-V,2018,1.2,Petrol,Manual,166808,5,2,7363,7440.7
Audi,Q5,2022,3.8,Diesel,Automatic,186035,4,3,12279,11670.0
Ford,Fiesta,2005,1.0,Hybrid,Semi-Automatic,68819,2,3,6223,7215.3
Chevrolet,Impala,2018,3.7,Petrol,Semi-Automatic,157181,5,2,10056,10321.6
Mercedes,C-Class,2007,3.9,Petrol,Semi-Automatic,97350,3,3,8153,8225.2
Volkswagen,Passat,2016,3.5,Diesel,Manual,271497,5,4,6970,6679.2
Toyota,RAV4,2013,4.3,Electric,Semi-Automatic,225452,4,5,9790,10367.8
Kia,Optima,2010,3.8,Petrol,Automatic,51040,5,2,11379,10831.9
Volkswagen,Golf,2012,4.2,Electric,Semi-Automatic,7544,2,5,13749,14416.8
Chevrolet,Equinox,2009,2.6,Hybrid,Semi-Automatic,264411,3,1,5111,5501.0
BMW,X5,2012,4.3,Petrol,Manual,153919,5,2,8921,8808.1
Honda,CR-V,2010,1.7,Petrol,Manual,115344,2,5,6493,6085.5
Kia,Rio,2009,2.9,Diesel,Semi-Automatic,106781,3,2,7564,7606.7
Hyundai,Sonata,2011,1.0,Petrol,Manual,279545,2,3,2809,3031.0
Hyundai,Sonata,2020,1.7,Petrol,Manual,11757,3,1,11564,11057.4
Audi,Q5,2014,2.4,Petrol,Semi-Automatic,230787,3,1,6084,6667.0
Hyundai,Elantra,2020,3.7,Hybrid,Automatic,216478,2,1,11970,11472.4
Mercedes,C-Class,2003,2.6,Diesel,Semi-Automatic,134567,5,2,4908,5298.5
Mercedes,C-Class,2006,4.5,Electric,Manual,162852,2,3,9142,8847.4
BMW,3 Series,2023,3.9,Hybrid,Semi-Automatic,112480,2,2,13650,13680.7
Kia,Optima,2017,1.9,Electric,Automatic,60780,2,1,13384,12773.4
Honda,CR-V,2012,3.2,Diesel,Automatic,21520,4,4,11969,11998.5
BMW,5 Series,2017,2.1,Diesel,Automatic,199006,3,3,8819,8930.4
Chevrolet,Equinox,2006,2.0,Hybrid,Automatic,11585,5,4,10168,10385.8
Chevrolet,Equinox,2009,2.8,Electric,Manual,79962,3,2,10000,9439.8
Volkswagen,Golf,2014,3.9,Electric,Automatic,95537,4,2,13789,13022.2
Mercedes,GLA,2021,4.3,Diesel,Manual,229873,4,2,10102,10026.9
Toyota,RAV4,2006,1.3,Hybrid,Manual,195129,4,5,4297,4185.7
Chevrolet,Impala,2011,4.0,Hybrid,Automatic,136926,5,1,11161,11344.0
Ford,Focus,2003,3.2,Petrol,Semi-Automatic,85005,3,1,6499,7259.9
Audi,A4,2017,2.7,Electric,Automatic,172248,3,2,11955,11489.3
Volkswagen,Golf,2017,4.3,Petrol,Automatic,179528,2,5,11409,11237.4
Hyundai,Sonata,2014,2.3,Electric,Manual,1752,4,2,12564,12431.6
Mercedes,GLA,2008,3.2,Electric,Manual,25557,5,4,11188,11227.9
BMW,5 Series,2007,3.9,Hybrid,Automatic,211162,5,5,8376,7657.8
Audi,A3,2014,4.0,Petrol,Automatic,182364,5,5,10152,10310.0
Hyundai,Sonata,2010,1.6,Petrol,Automatic,112946,2,5,7941,7549.1
Ford,Focus,2009,2.1,Petrol,Automatic,122067,4,4,7958,8078.1
Toyota,RAV4,2008,3.5,Electric,Semi-Automatic,296747,3,1,6065,6477.1
BMW,5 Series,2018,2.8,Petrol,Semi-Automatic,23722,5,5,11825,11972.5
Hyundai,Elantra,2000,1.8,Petrol,Manual,161487,3,5,2670,2150.2
Ford,Focus,2009,4.1,Petrol,Automatic,99562,5,2,10408,10482.7
Kia,Optima,2018,1.9,Electric,Manual,107386,5,4,11252,10636.4
Volkswagen,Golf,2021,4.0,Diesel,Automatic,32991,5,3,15240,15341.7
Audi,A3,2017,1.7,Diesel,Manual,156940,4,2,7761,7280.9
Toyota,Camry,2007,2.2,Diesel,Manual,87444,4,4,6651,6654.2
BMW,5 Series,2009,1.4,Petrol,Manual,232049,3,2,3559,3409.4
Ford,Focus,2009,1.2,Hybrid,Automatic,114668,2,4,8206,8236.1
Toyota,Camry,2017,4.8,Electric,Semi-Automatic,297176,4,2,10056,10163.0
Hyundai,Sonata,2011,4.1,Hybrid,Semi-Automatic,138965,4,4,9720,10496.0
Volkswagen,Tiguan,2006,4.4,Petrol,Automatic,251894,2,4,6762,6558.7
Toyota,Corolla,2006,2.8,Diesel,Semi-Automatic,174551,4,5,5208,5395.8
BMW,5 Series,2011,3.0,Petrol,Automatic,260151,5,1,6696,6894.4
Chevrolet,Malibu,2006,2.8,Petrol,Manual,253372,2,4,3632,3096.4
Mercedes,GLA,2010,1.9,Hybrid,Manual,99563,3,5,8008,7388.6
Ford,Fiesta,2014,3.9,Electric,Automatic,267949,3,2,10341,9646.6
BMW,X5,2010,4.6,Diesel,Manual,79663,5,5,10106,9687.0
Toyota,RAV4,2013,3.5,Electric,Automatic,85640,3,4,13287,12927.7
Mercedes,E-Class,2001,4.4,Hybrid,Automatic,1937,4,4,11261,11064.2
Ford,Fiesta,2014,3.2,Petrol,Automatic,253316,3,5,7933,7945.6
Mercedes,E-Class,2007,3.2,Diesel,Semi-Automatic,203452,2,4,5330,6132.5
Hyundai,Elantra,2022,4.2,Electric,Manual,181600,3,3,13268,13254.5
BMW,X5,2002,2.9,Petrol,Manual,296864,4,2,2000,1014.0
Kia,Sportage,2014,1.4,Hybrid,Semi-Automatic,262641,4,1,5447,6059.9
Audi,Q5,2023,4.7,Electric,Automatic,222000,3,3,14760,14229.8
Ford,Focus,2006,4.6,Petrol,Automatic,98002,5,4,10039,9616.8
Kia,Sportage,2000,3.4,Hybrid,Manual,131933,4,1,5861,5693.4
BMW,X5,2001,4.6,Diesel,Manual,287045,4,4,3259,2866.0
Chevrolet,Malibu,2008,2.5,Petrol,Semi-Automatic,215987,5,3,4680,5177.3
Honda,CR-V,2009,2.8,Diesel,Manual,201403,3,5,5571,5043.4
BMW,3 Series,2021,3.9,Petrol,Manual,263073,4,3,9038,8342.4
Audi,A3,2021,4.4,Diesel,Semi-Automatic,91956,2,2,12960,13464.8
Kia,Sportage,2021,1.3,Hybrid,Manual,197902,5,5,8741,8690.4
Toyota,RAV4,2006,1.0,Diesel,Automatic,107474,4,5,6250,6442.6
BMW,5 Series,2011,1.1,Diesel,Automatic,178039,3,1,6439,6576.6
BMW,5 Series,2009,4.0,Electric,Automatic,84645,2,2,12607,12777.7
Kia,Optima,2020,4.1,Hybrid,Semi-Automatic,118504,2,4,12829,13699.6
Honda,Accord,2009,2.7,Petrol,Manual,217224,4,5,5155,4674.0
Toyota,Camry,2002,2.6,Petrol,Automatic,118041,3,4,6439,6052.0
Audi,A4,2020,4.3,Diesel,Semi-Automatic,186962,3,5,10660,11307.4
Mercedes,GLA,2023,1.3,Electric,Semi-Automatic,78961,5,2,12720,13435.1
Mercedes,GLA,2010,1.0,Hybrid,Manual,296156,5,1,3176,3462.9
Toyota,RAV4,2019,2.0,Petrol,Automatic,232074,3,5,8658,8829.1
Ford,Explorer,2001,2.3,Electric,Manual,38542,5,2,7929,7816.3
BMW,X5,2010,2.9,Diesel,Automatic,295058,5,1,5598,4929.8
Toyota,Camry,2013,2.2,Hybrid,Manual,262285,4,4,5954,5947.3
Ford,Explorer,2008,3.9,Electric,Semi-Automatic,225838,5,3,7883,7900.4
Chevrolet,Equinox,2023,3.0,Hybrid,Automatic,230795,5,4,11884,12074.5
Chevrolet,Malibu,2008,2.5,Petrol,Manual,94729,5,3,7105,6847.5
Mercedes,C-Class,2022,3.1,Petrol,Automatic,282199,2,2,9656,9773.4
Audi,A3,2006,2.6,Diesel,Automatic,282423,5,5,4351,3962.1
Mercedes,C-Class,2004,4.0,Diesel,Manual,191859,3,5,5462,5672.1
Ford,Fiesta,2004,2.2,Hybrid,Automatic,256459,4,5,4870,4894.7
Kia,Sportage,2021,2.1,Electric,Semi-Automatic,74107,5,4,13017,13895.3
Volkswagen,Golf,2019,3.9,Petrol,Manual,230974,5,3,9080,8324.7
BMW,5 Series,2016,1.7,Petrol,Manual,56150,3,1,9477,9009.0
Mercedes,C-Class,2010,4.7,Diesel,Semi-Automatic,256100,3,2,6678,6932.7
Volkswagen,Golf,2006,2.7,Hybrid,Automatic,9512,2,1,10909,10365.6
Audi,A3,2011,4.8,Petrol,Automatic,80241,2,3,12095,11460.6
Audi,A4,2021,4.7,Diesel,Semi-Automatic,150713,2,4,12085,12332.7
Audi,Q5,2018,1.7,Electric,Semi-Automatic,207019,2,3,9059,9351.8
Audi,A3,2023,3.2,Petrol,Semi-Automatic,163039,3,3,10939,11665.2
Toyota,Corolla,2000,2.0,Diesel,Manual,145101,3,5,3197,3445.7
Ford,Focus,2016,1.4,Petrol,Semi-Automatic,278559,5,4,4728,5319.0
Hyundai,Elantra,2017,4.2,Diesel,Automatic,269154,3,2,9516,9514.9
Kia,Sportage,2010,2.3,Petrol,Manual,62065,2,2,8158,8119.2
Audi,Q5,2023,1.9,Diesel,Manual,52679,5,3,11846,11170.3
Toyota,Camry,2014,1.0,Petrol,Manual,177766,3,2,5744,5973.0
Honda,Civic,2007,1.6,Electric,Manual,158154,3,4,6636,6295.7
Chevrolet,Impala,2021,1.3,Electric,Automatic,52051,5,1,14158,14095.6
Toyota,Camry,2023,1.5,Diesel,Manual,117049,2,5,10159,9872.6
Toyota,Camry,2000,1.8,Electric,Automatic,271405,4,4,3971,3405.5
Hyundai,Sonata,2010,2.6,Hybrid,Semi-Automatic,260006,3,3,5499,5828.5
Toyota,RAV4,2012,1.7,Petrol,Manual,234785,3,1,4704,4209.5
Kia,Optima,2009,1.6,Electric,Automatic,222076,5,4,7458,7155.3
Volkswagen,Passat,2002,1.8,Petrol,Manual,194835,3,3,2603,2075.6
Ford,Focus,2013,2.0,Diesel,Automatic,145970,2,2,8580,8801.0
Ford,Fiesta,2011,1.4,Hybrid,Automatic,30785,4,3,10684,10507.7
Audi,Q5,2015,3.7,Diesel,Semi-Automatic,57196,3,1,11156,11403.4
Kia,Sportage,2019,4.0,Diesel,Semi-Automatic,50680,3,4,12786,13735.1
Toyota,RAV4,2001,4.7,Diesel,Semi-Automatic,230052,2,3,4498,4702.1
Honda,Civic,2019,4.2,Petrol,Manual,273193,2,4,8536,8537.5
Hyundai,Elantra,2003,4.4,Hybrid,Semi-Automatic,169451,2,2,7010,7561.1
BMW,X5,2020,2.2,Electric,Automatic,286174,4,5,10076,10093.0
Chevrolet,Malibu,2004,4.9,Diesel,Manual,242712,5,4,5345,4656.6
Hyundai,Elantra,2014,3.4,Electric,Manual,227371,4,5,9152,8967.7
Kia,Optima,2002,1.7,Diesel,Manual,79442,4,2,4811,4420.8
Toyota,Corolla,2005,3.2,Petrol,Automatic,29885,2,2,9702,9719.6
Volkswagen,Tiguan,2008,4.3,Diesel,Semi-Automatic,261478,4,5,5570,6207.2
Kia,Optima,2010,1.2,Petrol,Automatic,170847,4,4,6383,6487.1
BMW,X5,2001,4.1,Electric,Semi-Automatic,87221,5,4,8755,9590.0
Mercedes,C-Class,2014,2.9,Petrol,Manual,217980,4,4,6840,6180.9
Volkswagen,Passat,2010,4.1,Electric,Automatic,71288,5,2,13274,13348.9
BMW,5 Series,2016,4.5,Diesel,Manual,91092,2,1,11578,11250.6
Honda,Civic,2020,4.4,Petrol,Semi-Automatic,24913,3,3,14001,14531.6
Kia,Sportage,2000,4.2,Hybrid,Semi-Automatic,155444,3,5,6191,6954.1
Mercedes,E-Class,2014,2.5,Electric,Semi-Automatic,171683,3,2,9366,9870.9
Honda,CR-V,2015,4.8,Diesel,Automatic,295428,3,5,8991,8415.9
Volkswagen,Golf,2010,3.9,Petrol,Automatic,207380,2,5,8352,7610.7
Mercedes,C-Class,2012,1.5,Electric,Automatic,89226,5,5,10915,10655.0
BMW,3 Series,2001,4.6,Hybrid,Manual,79217,4,4,8415,7993.7
Mercedes,E-Class,2010,3.3,Diesel,Automatic,297971,2,3,5940,5892.3
Ford,Fiesta,2011,3.5,Diesel,Semi-Automatic,178950,2,3,7321,7784.9
Audi,A3,2017,3.4,Electric,Automatic,148880,3,5,13122,12893.7
Honda,Accord,2013,1.7,Petrol,Semi-Automatic,23936,4,4,9221,9492.1
Audi,Q5,2002,2.1,Electric,Manual,68076,4,1,7438,7566.2
Chevrolet,Malibu,2015,2.9,Diesel,Automatic,144743,2,3,10105,9444.5
Kia,Rio,2014,4.4,Diesel,Semi-Automatic,90279,3,5,10894,11388.0
Audi,A3,2018,2.5,Diesel,Semi-Automatic,56429,2,1,10871,11318.1
Audi,A3,2014,2.9,Diesel,Automatic,1197,2,5,12676,11970.7
Mercedes,C-Class,2021,1.9,Petrol,Automatic,200177,2,2,9796,9151.3
Chevrolet,Malibu,2022,3.0,Diesel,Manual,5679,2,4,13586,13793.0
BMW,3 Series,2011,3.3,Hybrid,Manual,14586,4,1,11408,11292.3
Kia,Sportage,2001,3.6,Hybrid,Semi-Automatic,202216,3,3,4955,5341.4
BMW,5 Series,2002,4.8,Petrol,Manual,249673,5,1,4506,3897.7
Chevrolet,Impala,2011,1.7,Diesel,Manual,39156,3,1,8316,7880.4
Volkswagen,Golf,2010,4.5,Electric,Semi-Automatic,68014,3,2,12239,12610.8
Ford,Focus,2008,2.4,Petrol,Manual,126868,5,3,6362,6184.9
Mercedes,E-Class,2010,3.0,Electric,Manual,258632,4,5,6927,7169.2
